household_id,gender_household_head,age_household_head,caste_household,education_level_household_head,income_level_household,size_household,is_bank_account_present_in_household
3401,Male,54.0,Brahman-Hill,Non-formal education,Rs. 20-30 thousand,6.0,1.0
3501,Female,70.0,Sanyasi/Dashnami,Illiterate,Rs. 10 thousand,2.0,0.0
3601,Male,60.0,Brahman-Hill,Non-formal education,Rs. 20-30 thousand,5.0,1.0
3701,Female,32.0,Chhetree,Class 2,Rs. 10-20 thousand,5.0,1.0
3801,Male,42.0,Brahman-Hill,Intermediate or equivalent,Rs. 10-20 thousand,2.0,1.0
3901,Male,74.0,Brahman-Hill,Non-formal education,Rs. 10-20 thousand,8.0,1.0
4001,Male,34.0,Brahman-Hill,Intermediate or equivalent,Rs. 10 thousand,4.0,1.0
4101,Male,43.0,Brahman-Hill,Class 10,Rs. 10-20 thousand,6.0,1.0
4201,Female,57.0,Gharti/Bhujel,Illiterate,Rs. 10 thousand,6.0,0.0
4301,Female,32.0,Gharti/Bhujel,Class 1,Rs. 10 thousand,4.0,0.0
4401,Male,46.0,Chhetree,Non-formal education,Rs. 10 thousand,2.0,0.0
4501,Female,65.0,Sanyasi/Dashnami,Illiterate,Rs. 10 thousand,1.0,0.0
4601,Male,52.0,Sanyasi/Dashnami,Non-formal education,Rs. 10-20 thousand,9.0,0.0
4701,Male,41.0,Sanyasi/Dashnami,Class 5,Rs. 10 thousand,7.0,0.0
4801,Male,38.0,Sanyasi/Dashnami,Class 8,Rs. 10 thousand,6.0,0.0
4901,Female,46.0,Sanyasi/Dashnami,Class 3,Rs. 10 thousand,3.0,0.0
5001,Male,27.0,Brahman-Hill,Intermediate or equivalent,Rs. 10-20 thousand,4.0,1.0
5101,Male,50.0,Brahman-Hill,Class 10,Rs. 10-20 thousand,8.0,1.0
5201,Female,53.0,Brahman-Hill,Illiterate,Rs. 10 thousand,2.0,0.0
5301,Male,53.0,Tamang,Class 1,Rs. 10 thousand,9.0,1.0
5401,Male,63.0,Rai,Non-formal education,Rs. 10 thousand,6.0,0.0
5501,Male,53.0,Rai,Class 5,Rs. 20-30 thousand,7.0,0.0
5601,Female,69.0,Rai,Illiterate,Rs. 10-20 thousand,6.0,1.0
5701,Male,49.0,Rai,Non-formal education,Rs. 10 thousand,7.0,0.0
5801,Male,41.0,Rai,Class 10,Rs. 10 thousand,4.0,1.0
5901,Male,56.0,Rai,Non-formal education,Rs. 10 thousand,4.0,0.0
6001,Female,62.0,Rai,Non-formal education,Rs. 10 thousand,5.0,1.0
6101,Male,37.0,Rai,Class 8,Rs. 20-30 thousand,4.0,1.0
6201,Female,71.0,Rai,Non-formal education,Rs. 10 thousand,10.0,1.0
6301,Male,74.0,Rai,Non-formal education,Rs. 10-20 thousand,5.0,0.0
6401,Male,44.0,Rai,Intermediate or equivalent,Rs. 10-20 thousand,4.0,1.0
6501,Male,54.0,Rai,Non-formal education,Rs. 10-20 thousand,4.0,0.0
6601,Male,27.0,Rai,SLC or equivalent,Rs. 10-20 thousand,3.0,0.0
6701,Male,73.0,Rai,Class 10,Rs. 10 thousand,5.0,0.0
6801,Male,61.0,Rai,Non-formal education,Rs. 20-30 thousand,12.0,0.0
6901,Male,43.0,Rai,SLC or equivalent,Rs. 20-30 thousand,4.0,0.0
7001,Female,49.0,Rai,Non-formal education,Rs. 10 thousand,4.0,1.0
7101,Male,34.0,Rai,Class 7,Rs. 10 thousand,7.0,1.0
7201,Male,43.0,Rai,Intermediate or equivalent,Rs. 10 thousand,4.0,1.0
7301,Male,58.0,Rai,Non-formal education,Rs. 10 thousand,2.0,1.0
7401,Male,48.0,Rai,SLC or equivalent,Rs. 10-20 thousand,5.0,1.0
7501,Female,51.0,Rai,Non-formal education,Rs. 10 thousand,8.0,0.0
7601,Male,58.0,Rai,Non-formal education,Rs. 20-30 thousand,5.0,0.0
7701,Male,30.0,Rai,SLC or equivalent,Rs. 10 thousand,4.0,0.0
7801,Male,45.0,Rai,Class 6,Rs. 10 thousand,3.0,1.0
7901,Male,35.0,Rai,Class 9,Rs. 10 thousand,3.0,0.0
8001,Male,54.0,Rai,Non-formal education,Rs. 10-20 thousand,9.0,1.0
8101,Female,87.0,Rai,Illiterate,Rs. 10 thousand,1.0,0.0
8201,Male,49.0,Rai,Class 3,Rs. 10 thousand,6.0,1.0
8301,Male,59.0,Rai,Illiterate,Rs. 10 thousand,5.0,0.0
8401,Male,82.0,Rai,Illiterate,Rs. 10-20 thousand,2.0,1.0
8501,Male,37.0,Rai,SLC or equivalent,Rs. 10-20 thousand,5.0,1.0
8601,Male,78.0,Rai,Non-formal education,Rs. 10-20 thousand,10.0,1.0
8701,Male,54.0,Rai,Class 9,Rs. 10 thousand,3.0,1.0
8801,Male,63.0,Rai,Class 7,Rs. 30-50 thousand,6.0,0.0
8901,Male,25.0,Rai,SLC or equivalent,Rs. 10 thousand,3.0,0.0
9001,Male,44.0,Rai,Non-formal education,Rs. 10 thousand,3.0,0.0
9101,Female,70.0,Rai,Illiterate,Rs. 10 thousand,10.0,0.0
9201,Male,81.0,Rai,Illiterate,Rs. 10 thousand,2.0,1.0
9301,Male,41.0,Rai,Class 5,Rs. 10 thousand,1.0,0.0
9401,Female,52.0,Kami,Illiterate,Rs. 10 thousand,1.0,1.0
9501,Female,49.0,Rai,Non-formal education,Rs. 10 thousand,5.0,0.0
9601,Male,45.0,Rai,Intermediate or equivalent,Rs. 10-20 thousand,4.0,1.0
9701,Male,28.0,Rai,SLC or equivalent,Rs. 10-20 thousand,7.0,0.0
9801,Male,63.0,Newar,Illiterate,Rs. 10 thousand,8.0,0.0
9901,Male,51.0,Gharti/Bhujel,Non-formal education,Rs. 10 thousand,6.0,0.0
10001,Male,29.0,Gharti/Bhujel,Class 8,Rs. 10 thousand,4.0,0.0
10101,Male,70.0,Brahman-Hill,Illiterate,Rs. 10-20 thousand,11.0,0.0
10201,Male,80.0,Gharti/Bhujel,Illiterate,Rs. 10 thousand,1.0,0.0
10301,Male,58.0,Gharti/Bhujel,Illiterate,Rs. 10 thousand,2.0,0.0
10401,Male,45.0,Gharti/Bhujel,Non-formal education,Rs. 10 thousand,4.0,0.0
10501,Male,65.0,Gharti/Bhujel,Illiterate,Rs. 10-20 thousand,4.0,1.0
10601,Male,64.0,Gharti/Bhujel,Non-formal education,Rs. 20-30 thousand,5.0,1.0
10701,Male,36.0,Gharti/Bhujel,SLC or equivalent,Rs. 10 thousand,4.0,0.0
10801,Male,25.0,Gharti/Bhujel,Non-formal education,Rs. 10 thousand,3.0,0.0
10901,Female,44.0,Gharti/Bhujel,Illiterate,Rs. 10 thousand,1.0,0.0
11001,Male,63.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,5.0,1.0
11101,Male,34.0,Gharti/Bhujel,SLC or equivalent,Rs. 30-50 thousand,4.0,0.0
11201,Male,64.0,Brahman-Hill,Class 8,Rs. 10-20 thousand,2.0,1.0
11301,Male,35.0,Brahman-Hill,SLC or equivalent,Rs. 30-50 thousand,3.0,0.0
11401,Male,61.0,Brahman-Hill,Non-formal education,Rs. 10-20 thousand,4.0,1.0
11501,Male,29.0,Brahman-Hill,Class 8,Rs. 20-30 thousand,3.0,0.0
11601,Male,55.0,Gharti/Bhujel,Class 3,Rs. 30-50 thousand,13.0,1.0
11701,Male,62.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,6.0,1.0
11801,Male,90.0,Rai,Non-formal education,Rs. 20-30 thousand,2.0,0.0
11901,Male,33.0,Rai,Intermediate or equivalent,Rs. 10-20 thousand,4.0,1.0
12001,Male,35.0,Rai,Class 10,Rs. 20-30 thousand,3.0,1.0
12101,Male,30.0,Gharti/Bhujel,Class 8,Rs. 10 thousand,4.0,0.0
12201,Male,24.0,Gharti/Bhujel,Class 10,Rs. 30-50 thousand,3.0,0.0
12301,Male,46.0,Brahman-Hill,Class 5,Rs. 10 thousand,6.0,1.0
12401,Male,56.0,Gharti/Bhujel,Non-formal education,Rs. 20-30 thousand,8.0,1.0
12501,Male,52.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,6.0,0.0
12601,Male,52.0,Brahman-Hill,Class 10,Rs. 30-50 thousand,6.0,1.0
12701,Male,33.0,Brahman-Hill,Intermediate or equivalent,Rs. 10 thousand,6.0,1.0
12801,Male,58.0,Chhetree,Non-formal education,Rs. 10 thousand,10.0,0.0
12901,Male,27.0,Gharti/Bhujel,Class 6,Rs. 10 thousand,5.0,0.0
13001,Male,20.0,Gharti/Bhujel,Class 7,Rs. 10 thousand,3.0,0.0
13101,Male,49.0,Brahman-Hill,Non-formal education,Rs. 20-30 thousand,7.0,1.0
13201,Male,81.0,Gharti/Bhujel,Non-formal education,Rs. 10 thousand,8.0,0.0
13301,Male,61.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,2.0,0.0
13401,Male,43.0,Brahman-Hill,Bachelors or equivalent,Rs. 10-20 thousand,5.0,1.0
13501,Male,40.0,Brahman-Hill,SLC or equivalent,Rs. 20-30 thousand,4.0,1.0
13601,Male,64.0,Brahman-Hill,Other,Rs. 10 thousand,3.0,1.0
13701,Male,39.0,Brahman-Hill,Class 6,Rs. 10 thousand,5.0,0.0
13801,Male,72.0,Brahman-Hill,Class 5,Rs. 10-20 thousand,7.0,1.0
13901,Male,43.0,Brahman-Hill,Masters or equivalent,Rs. 30-50 thousand,5.0,1.0
14001,Male,25.0,Brahman-Hill,Class 8,Rs. 10 thousand,6.0,0.0
14101,Male,34.0,Brahman-Hill,Class 8,Rs. 10-20 thousand,4.0,1.0
14201,Male,65.0,Rai,Illiterate,Rs. 10 thousand,2.0,0.0
14301,Female,42.0,Rai,Non-formal education,Rs. 30-50 thousand,2.0,0.0
14401,Male,38.0,Tamang,Class 7,Rs. 10-20 thousand,5.0,0.0
14501,Female,61.0,Tamang,Illiterate,Rs. 20-30 thousand,13.0,1.0
14601,Male,53.0,Tamang,Non-formal education,Rs. 30-50 thousand,6.0,0.0
14701,Female,58.0,Tamang,Illiterate,Rs. 10-20 thousand,7.0,0.0
14801,Male,43.0,Chhetree,Non-formal education,Rs. 10-20 thousand,6.0,1.0
14901,Male,58.0,Tamang,Non-formal education,Rs. 10 thousand,6.0,0.0
15001,Female,32.0,Tamang,Class 5,Rs. 20-30 thousand,5.0,1.0
15101,Male,62.0,Tamang,SLC or equivalent,Rs. 20-30 thousand,3.0,1.0
15201,Female,57.0,Gurung,Illiterate,Rs. 10-20 thousand,4.0,1.0
15301,Male,45.0,Tamang,Non-formal education,Rs. 10-20 thousand,5.0,1.0
15401,Male,31.0,Tamang,SLC or equivalent,Rs. 10-20 thousand,4.0,1.0
15501,Female,53.0,Tamang,Illiterate,Rs. 10-20 thousand,8.0,1.0
15601,Male,57.0,Tamang,Non-formal education,Rs. 20-30 thousand,5.0,0.0
15701,Female,51.0,Tamang,Non-formal education,Rs. 10 thousand,2.0,1.0
15801,Female,61.0,Tamang,Illiterate,Rs. 10 thousand,6.0,0.0
15901,Male,43.0,Tamang,Non-formal education,Rs. 20-30 thousand,6.0,0.0
16001,Female,32.0,Tamang,Non-formal education,Rs. 10 thousand,3.0,0.0
16101,Male,56.0,Tamang,Illiterate,Rs. 10 thousand,6.0,0.0
16201,Male,52.0,Tamang,Non-formal education,Rs. 10 thousand,4.0,0.0
16301,Male,52.0,Tamang,Class 10,Rs. 30-50 thousand,5.0,1.0
16401,Male,37.0,Tamang,Non-formal education,Rs. 10 thousand,3.0,1.0
16501,Male,79.0,Tamang,Illiterate,Rs. 20-30 thousand,10.0,1.0
16601,Male,34.0,Tamang,Illiterate,Rs. 10 thousand,4.0,0.0
16701,Male,80.0,Rai,Non-formal education,Rs. 20-30 thousand,5.0,1.0
16801,Female,63.0,Tamang,Illiterate,Rs. 10 thousand,2.0,1.0
16901,Male,67.0,Chhetree,Non-formal education,Rs. 50 thousand or more,8.0,1.0
17001,Male,40.0,Tamang,Non-formal education,Rs. 10-20 thousand,3.0,0.0
17101,Male,29.0,Tamang,Non-formal education,Rs. 10-20 thousand,4.0,1.0
17201,Male,59.0,Tamang,Illiterate,Rs. 10 thousand,4.0,0.0
17301,Male,53.0,Chhetree,SLC or equivalent,Rs. 30-50 thousand,6.0,1.0
17401,Female,53.0,Tamang,Illiterate,Rs. 10 thousand,3.0,1.0
17501,Female,31.0,Tamang,Class 10,Rs. 10 thousand,4.0,1.0
17601,Female,75.0,Tamang,Illiterate,Rs. 10 thousand,6.0,1.0
17701,Male,61.0,Tamang,Non-formal education,Rs. 50 thousand or more,11.0,1.0
17801,Male,41.0,Tamang,Class 10,Rs. 20-30 thousand,5.0,0.0
17901,Male,87.0,Tamang,Illiterate,Rs. 10 thousand,2.0,0.0
18001,Male,22.0,Tamang,Class 5,Rs. 10 thousand,3.0,0.0
18101,Male,55.0,Tamang,Non-formal education,Rs. 10 thousand,7.0,1.0
18201,Male,60.0,Chhetree,Non-formal education,Rs. 10 thousand,2.0,1.0
18301,Male,56.0,Chhetree,Non-formal education,Rs. 10 thousand,6.0,1.0
18401,Male,47.0,Chhetree,Class 10,Rs. 10-20 thousand,13.0,1.0
18501,Male,37.0,Chhetree,Class 10,Rs. 10 thousand,4.0,0.0
18601,Male,69.0,Chhetree,Illiterate,Rs. 10 thousand,8.0,1.0
18701,Male,47.0,Chhetree,Class 10,Rs. 10-20 thousand,6.0,1.0
18801,Male,63.0,Chhetree,Class 10,Rs. 20-30 thousand,6.0,1.0
18901,Male,57.0,Chhetree,Non-formal education,Rs. 10 thousand,9.0,1.0
19001,Male,70.0,Gurung,Illiterate,Rs. 20-30 thousand,5.0,0.0
19101,Male,71.0,Gurung,Illiterate,Rs. 10 thousand,2.0,1.0
19201,Female,44.0,Rai,Non-formal education,Rs. 10 thousand,3.0,0.0
19301,Male,62.0,Rai,Illiterate,Rs. 10 thousand,6.0,0.0
19401,Male,62.0,Chhetree,Non-formal education,Rs. 50 thousand or more,11.0,0.0
19501,Male,54.0,Chhetree,Class 5,Rs. 10 thousand,5.0,0.0
19601,Male,51.0,Rai,Non-formal education,Rs. 10 thousand,7.0,1.0
19701,Male,34.0,Rai,Class 9,Rs. 10 thousand,2.0,1.0
19801,Male,53.0,Magar,Non-formal education,Rs. 20-30 thousand,6.0,1.0
19901,Female,65.0,Rai,Illiterate,Rs. 10 thousand,4.0,1.0
20001,Male,44.0,Rai,Class 10,Rs. 10-20 thousand,3.0,0.0
20101,Male,32.0,Kami,Class 6,Rs. 10-20 thousand,3.0,0.0
20201,Male,60.0,Chhetree,Class 8,Rs. 10-20 thousand,5.0,1.0
20301,Male,28.0,Chhetree,Class 8,Rs. 10-20 thousand,4.0,1.0
20401,Male,25.0,Chhetree,Bachelors or equivalent,Rs. 30-50 thousand,11.0,1.0
20501,Male,38.0,Chhetree,Class 10,Rs. 10-20 thousand,4.0,1.0
20601,Male,66.0,Chhetree,Class 4,Rs. 10-20 thousand,5.0,1.0
20701,Male,38.0,Chhetree,Class 10,Rs. 10 thousand,4.0,1.0
20801,Male,37.0,Chhetree,Class 8,Rs. 10 thousand,4.0,1.0
20901,Female,36.0,Chhetree,Class 5,Rs. 10 thousand,2.0,1.0
21001,Male,65.0,Chhetree,Class 10,Rs. 20-30 thousand,3.0,1.0
21101,Male,72.0,Chhetree,Illiterate,Rs. 10-20 thousand,7.0,1.0
21201,Male,48.0,Chhetree,Class 10,Rs. 10-20 thousand,4.0,1.0
21301,Male,34.0,Chhetree,Class 8,Rs. 10-20 thousand,5.0,1.0
21401,Male,41.0,Chhetree,Class 10,Rs. 10 thousand,5.0,1.0
21501,Male,35.0,Chhetree,Class 10,Rs. 10 thousand,3.0,1.0
21601,Male,45.0,Chhetree,Non-formal education,Rs. 10 thousand,6.0,0.0
21701,Male,60.0,Chhetree,Class 3,Rs. 10-20 thousand,5.0,1.0
21801,Male,45.0,Chhetree,Class 8,Rs. 10-20 thousand,5.0,1.0
21901,Male,47.0,Chhetree,Class 10,Rs. 10-20 thousand,4.0,1.0
22001,Male,76.0,Chhetree,Class 4,Rs. 20-30 thousand,5.0,1.0
22101,Male,36.0,Chhetree,Class 8,Rs. 10-20 thousand,4.0,1.0
22201,Male,31.0,Chhetree,Class 8,Rs. 10-20 thousand,4.0,1.0
22301,Male,31.0,Chhetree,Class 8,Rs. 10-20 thousand,3.0,0.0
22401,Female,66.0,Chhetree,Illiterate,Rs. 10-20 thousand,3.0,0.0
22501,Male,36.0,Chhetree,Intermediate or equivalent,Rs. 10-20 thousand,2.0,1.0
22601,Male,42.0,Chhetree,Class 10,Rs. 30-50 thousand,5.0,1.0
22701,Male,55.0,Chhetree,Class 9,Rs. 10-20 thousand,6.0,1.0
22801,Male,54.0,Kami,Non-formal education,Rs. 30-50 thousand,6.0,1.0
22901,Male,31.0,Kami,Class 8,Rs. 20-30 thousand,3.0,1.0
23001,Male,70.0,Kami,Illiterate,Rs. 10 thousand,5.0,1.0
23101,Male,32.0,Kami,Class 8,Rs. 10-20 thousand,3.0,0.0
23201,Male,59.0,Chhetree,Class 5,Rs. 10-20 thousand,5.0,1.0
23301,Male,87.0,Chhetree,Illiterate,Rs. 10 thousand,2.0,0.0
23401,Male,24.0,Kami,Class 8,Rs. 10 thousand,3.0,1.0
23501,Male,58.0,Chhetree,Class 8,Rs. 10-20 thousand,7.0,1.0
23601,Male,36.0,Chhetree,Class 5,Rs. 20-30 thousand,3.0,0.0
23701,Male,53.0,Chhetree,Class 5,Rs. 30-50 thousand,8.0,1.0
23801,Male,56.0,Gurung,Class 5,Rs. 10 thousand,6.0,0.0
23901,Male,58.0,Gurung,Class 6,Rs. 30-50 thousand,6.0,1.0
24001,Male,27.0,Gurung,SLC or equivalent,Rs. 20-30 thousand,3.0,0.0
24101,Male,62.0,Gurung,Non-formal education,Rs. 10-20 thousand,6.0,1.0
24201,Male,73.0,0thers,Non-formal education,Rs. 10-20 thousand,6.0,1.0
24301,Male,64.0,0thers,Non-formal education,Rs. 20-30 thousand,14.0,1.0
24401,Female,42.0,0thers,Non-formal education,Rs. 10-20 thousand,6.0,1.0
24501,Male,47.0,Kami,Class 7,Rs. 10 thousand,4.0,1.0
24601,Male,19.0,Kami,Class 9,Rs. 10-20 thousand,2.0,0.0
24701,Male,27.0,Kami,Class 10,Rs. 10 thousand,3.0,0.0
24801,Female,24.0,Chhetree,SLC or equivalent,Rs. 10-20 thousand,4.0,1.0
24901,Male,75.0,Chhetree,Non-formal education,Rs. 10-20 thousand,1.0,1.0
25001,Male,44.0,Chhetree,Class 8,Rs. 10-20 thousand,5.0,0.0
25101,Male,69.0,Kami,Non-formal education,Rs. 10-20 thousand,7.0,1.0
25201,Male,47.0,Kami,Non-formal education,Rs. 30-50 thousand,6.0,0.0
25301,Female,36.0,Kami,Class 4,Rs. 10-20 thousand,4.0,1.0
25401,Male,26.0,Chhetree,Class 10,Rs. 20-30 thousand,3.0,1.0
25501,Female,56.0,Kami,Illiterate,Rs. 10 thousand,5.0,0.0
25601,Female,37.0,Kami,Class 2,Rs. 10 thousand,4.0,1.0
25701,Male,43.0,Chhetree,Class 10,Rs. 10-20 thousand,4.0,1.0
25801,Female,70.0,Chhetree,Illiterate,Rs. 10 thousand,1.0,0.0
25901,Male,62.0,Brahman-Hill,Class 10,Rs. 10-20 thousand,2.0,1.0
26001,Male,70.0,Magar,Non-formal education,Rs. 20-30 thousand,5.0,0.0
26101,Male,48.0,Magar,Non-formal education,Rs. 10 thousand,5.0,0.0
26201,Female,37.0,Magar,Illiterate,Rs. 10-20 thousand,5.0,0.0
26202,Male,27.0,Brahman-Hill,Bachelors or equivalent,Rs. 10-20 thousand,2.0,1.0
26301,Female,75.0,Brahman-Hill,Illiterate,Rs. 10 thousand,2.0,0.0
26401,Female,59.0,Brahman-Hill,Illiterate,Rs. 10-20 thousand,2.0,1.0
26501,Male,54.0,Brahman-Hill,Class 5,Rs. 10 thousand,2.0,0.0
26601,Male,31.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,5.0,0.0
26701,Male,43.0,Brahman-Hill,Non-formal education,Rs. 10-20 thousand,5.0,1.0
26801,Male,53.0,Magar,Non-formal education,Rs. 10 thousand,4.0,0.0
26901,Male,62.0,Magar,Illiterate,Rs. 10 thousand,4.0,0.0
27001,Male,38.0,Magar,Class 9,Rs. 10 thousand,5.0,0.0
27101,Male,72.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,2.0,0.0
27201,Male,48.0,Brahman-Hill,Bachelors or equivalent,Rs. 20-30 thousand,2.0,1.0
27301,Male,49.0,Chhetree,Non-formal education,Rs. 10 thousand,4.0,0.0
27401,Male,39.0,Brahman-Hill,SLC or equivalent,Rs. 10-20 thousand,4.0,1.0
27501,Male,67.0,Brahman-Hill,SLC or equivalent,Rs. 10 thousand,2.0,1.0
27601,Male,39.0,Brahman-Hill,Intermediate or equivalent,Rs. 10-20 thousand,4.0,1.0
27701,Male,46.0,Rai,Non-formal education,Rs. 10 thousand,8.0,0.0
27801,Female,63.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,1.0,0.0
27901,Female,66.0,Magar,Non-formal education,Rs. 20-30 thousand,6.0,0.0
28001,Male,68.0,Brahman-Hill,Non-formal education,Rs. 10-20 thousand,6.0,1.0
28101,Male,37.0,Tamang,Non-formal education,Rs. 10 thousand,4.0,0.0
28201,Female,45.0,Chhetree,Non-formal education,Rs. 10-20 thousand,5.0,0.0
28301,Female,50.0,Tamang,Non-formal education,Rs. 10-20 thousand,8.0,0.0
28401,Male,70.0,Chhetree,SLC or equivalent,Rs. 10-20 thousand,3.0,1.0
28501,Male,39.0,Rai,Non-formal education,Rs. 10 thousand,5.0,0.0
28601,Male,66.0,Rai,Non-formal education,Rs. 20-30 thousand,6.0,0.0
28701,Female,66.0,Rai,Illiterate,Rs. 10 thousand,1.0,0.0
28801,Male,57.0,Rai,Illiterate,Rs. 10 thousand,3.0,0.0
28901,Female,35.0,Rai,Class 8,Rs. 10-20 thousand,4.0,0.0
29001,Female,22.0,Rai,Class 10,Rs. 10-20 thousand,5.0,0.0
29101,Female,39.0,Rai,Class 8,Rs. 10-20 thousand,2.0,0.0
29201,Female,58.0,Rai,Illiterate,Rs. 10-20 thousand,4.0,0.0
29301,Female,23.0,Rai,Intermediate or equivalent,Rs. 10-20 thousand,2.0,0.0
29401,Female,52.0,Gharti/Bhujel,Illiterate,Rs. 10 thousand,2.0,0.0
29501,Male,49.0,Rai,Non-formal education,Rs. 10 thousand,5.0,0.0
29601,Female,70.0,Brahman-Hill,Illiterate,Rs. 10 thousand,1.0,0.0
29701,Male,70.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,2.0,0.0
29801,Male,42.0,Brahman-Hill,Masters or equivalent,Rs. 10-20 thousand,4.0,1.0
29901,Male,45.0,Brahman-Hill,Non-formal education,Rs. 10 thousand,5.0,0.0
30001,Male,28.0,Brahman-Hill,SLC or equivalent,Rs. 10 thousand,4.0,0.0
30101,Male,51.0,Rai,Illiterate,Rs. 10 thousand,7.0,0.0
30201,Male,65.0,Chhetree,Non-formal education,Rs. 10-20 thousand,2.0,0.0
30301,Male,21.0,Rai,Class 10,Rs. 10 thousand,2.0,0.0
30401,Female,66.0,Chhetree,Illiterate,Rs. 10 thousand,2.0,0.0
30501,Male,76.0,Gurung,Illiterate,Rs. 10 thousand,1.0,0.0
30601,Female,39.0,Gurung,Non-formal education,Rs. 10-20 thousand,4.0,0.0
30701,Female,64.0,Gurung,Illiterate,Rs. 10 thousand,1.0,0.0
30801,Female,54.0,Gurung,Non-formal education,Rs. 10-20 thousand,5.0,0.0
30901,Male,37.0,Gurung,SLC or equivalent,Rs. 20-30 thousand,7.0,1.0
31001,Female,31.0,Gurung,Class 10,Rs. 10 thousand,5.0,0.0
31101,Male,52.0,Gurung,Illiterate,Rs. 10 thousand,3.0,0.0
31201,Male,43.0,Gurung,SLC or equivalent,Rs. 10-20 thousand,5.0,1.0
31301,Female,21.0,Chhetree,Intermediate or equivalent,Rs. 20-30 thousand,3.0,1.0
31401,Male,50.0,Gurung,Non-formal education,Rs. 10-20 thousand,2.0,0.0
31501,Male,62.0,Gurung,Non-formal education,Rs. 10-20 thousand,5.0,0.0
31601,Male,61.0,Gurung,Non-formal education,Rs. 10-20 thousand,4.0,1.0
31701,Male,51.0,Chhetree,Non-formal education,Rs. 10 thousand,3.0,0.0
31801,Male,68.0,Gurung,Illiterate,Rs. 10-20 thousand,3.0,0.0
31901,Female,35.0,Gurung,Non-formal education,Rs. 10 thousand,4.0,1.0
32001,Male,49.0,Gurung,Non-formal education,Rs. 10 thousand,4.0,0.0
32101,Male,45.0,Gurung,Non-formal education,Rs. 10 thousand,2.0,0.0
32201,Female,21.0,Gurung,Class 10,Rs. 10 thousand,5.0,0.0
